"Player Name","POS","NFL Team","Fantasy Team","Sleeper ID","✏️ Contract Years","✏️ Tag Status","✏️ Exemption","✏️ Notes"
"Drake Maye","QB","NE","A.Woods","11564","5","None","None",""
"J.J. McCarthy","QB","MIN","A.Woods","11565","5","None","None",""
"Patrick Mahomes","QB","KC","A.Woods","4046","4","None","2024",""
"Javonte Williams","RB","DAL","A.Woods","7588","","None","None",""
"Kenneth Walker","RB","KC","A.Woods","8151","1","None","None",""
"Rhamondre Stevenson","RB","NE","A.Woods","7611","","None","None",""
"Zach Charbonnet","RB","SEA","A.Woods","9753","2","None","None",""
"Alvin Kamara","RB","NO","A.Woods","4035","1","true","2025",""
"Chris Rodriguez","RB","JAX","A.Woods","10219","","None","None",""
"Jarquez Hunter","RB","LAR","A.Woods","11569","","None","None",""
"Kendre Miller","RB","NO","A.Woods","9757","2","None","None",""
"MarShawn Lloyd","RB","GB","A.Woods","11581","3","None","None",""
"A.J. Brown","WR","PHI","A.Woods","5859","4","true","2025",""
"Marquise Brown","WR","PHI","A.Woods","5848","1","None","None",""
"Matthew Golden","WR","GB","A.Woods","12501","6","None","None",""
"Amari Rodgers","WR","FA","A.Woods","7540","1","None","None",""
"Cedric Tillman","WR","CLE","A.Woods","10444","1","None","None",""
"Devaughn Vele","WR","NO","A.Woods","11834","","None","None",""
"Elijah Moore","WR","PHI","A.Woods","7596","2","None","None",""
"Garrett Wilson","WR","NYJ","A.Woods","8146","3","None","None",""
"Kyle Williams","WR","NE","A.Woods","12547","","None","None",""
"Malik Nabers","WR","NYG","A.Woods","11632","5","None","None",""
"Roman Wilson","WR","PIT","A.Woods","11630","2","None","None",""
"Tyler Warren","TE","IND","A.Woods","12518","6","None","None",""
"Pat Freiermuth","TE","PIT","A.Woods","7600","1","None","None",""
"TB","DEF","TB","A.Woods","TB","","None","None",""
"Baker Mayfield","QB","TB","Amon-Ra Doggin","4892","2","None","None",""
"Aaron Rodgers","QB","FA","Amon-Ra Doggin","96","","None","None",""
"C.J. Stroud","QB","HOU","Amon-Ra Doggin","9758","1","None","None",""
